name_hint,website,city_hint,country_hint,region,category_hint,discovery_source,source_url,enabled,priority,discovered_at,verification_status
BiOStyle Clinic Osaka,https://biostyle.osaka/en/,Osaka,Japan,Asia,stem_cell_regenerative,direct clinic website,https://biostyle.osaka/en/,True,1,2026-09-16,direct_site_verified
Cell Grand Clinic,https://cellgrandclinic.com/en,Osaka,Japan,Asia,stem_cell_regenerative,direct clinic website,https://cellgrandclinic.com/en,True,1,2026-09-16,direct_site_verified
Blu Clinic,https://blu-clinic.jp/,Tokyo / Osaka,Japan,Asia,stem_cell_regenerative,direct clinic website,https://blu-clinic.jp/,True,1,2026-09-16,direct_site_verified
Aoyama Renacell Clinic,https://rena-cell.com/,Tokyo,Japan,Asia,stem_cell_regenerative,direct clinic website,https://rena-cell.com/,True,1,2026-09-16,direct_site_verified
Elm Clinic,https://www.elm-clinic.jp/en/treatment/stem-cell-detox-concentration/,Multiple cities,Japan,Asia,stem_cell_regenerative,direct clinic website,https://www.elm-clinic.jp/en/treatment/stem-cell-detox-concentration/,True,1,2026-09-16,direct_site_verified
Gangnam JS Hospital Stem Cell Center,https://www.seoulstemcelltherapy.com/,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.seoulstemcelltherapy.com/,True,1,2026-09-16,direct_site_verified
Dr. Kim's Stem Cell Clinic,https://www.hskclinic.com/,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.hskclinic.com/,True,1,2026-09-16,direct_site_verified
Cellon Dermatology Clinic,https://www.cellonclinic.com/en/stem-cell/,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.cellonclinic.com/en/stem-cell/,True,1,2026-09-16,direct_site_verified
CELLPARK Dermatology Clinic,https://www.cellparkclinic.com/en/,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.cellparkclinic.com/en/,True,1,2026-09-16,direct_site_verified
WOOA Stem Cell Clinic,https://www.seoulstemcell.com/,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.seoulstemcell.com/,True,1,2026-09-16,direct_site_verified
Seoul YES Hospital / E:UM HealthCare,https://www.seoulyeshospital.com/,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.seoulyeshospital.com/,True,1,2026-09-16,direct_site_verified
VEI Clinic,https://www.seoulantiagingclinic.com/stem-cell-therapy-seoul-kroea,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.seoulantiagingclinic.com/stem-cell-therapy-seoul-kroea,True,1,2026-09-16,direct_site_verified
Re:Berry Clinic,https://www.myeongdongstemcellclinic.com/,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.myeongdongstemcellclinic.com/,True,1,2026-09-16,direct_site_verified
LIJIN Clinic,https://www.myeongdongstemcelltherapy.com/,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.myeongdongstemcelltherapy.com/,True,1,2026-09-16,direct_site_verified
Egg Clinic Seoul,https://www.stemcellclinicseoul.com/stem-cel/exosome,Seoul,South Korea,Asia,stem_cell_regenerative,direct clinic website,https://www.stemcellclinicseoul.com/stem-cel/exosome,True,1,2026-09-16,direct_site_verified
Bangkok Stem Cell Center,https://bangkokstemcellcenter.com/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://bangkokstemcellcenter.com/,True,1,2026-09-16,direct_site_verified
MRC Healthcare,https://mrcbkk.com/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://mrcbkk.com/,True,1,2026-09-16,direct_site_verified
StemCells21,https://www.stemcells21.com/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://www.stemcells21.com/,True,1,2026-09-16,direct_site_verified
Revival Clinic Bangkok,https://www.revivalclinicbangkok.com/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://www.revivalclinicbangkok.com/,True,1,2026-09-16,direct_site_verified
Absolute Health Clinic,https://absolute-health.org/en/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://absolute-health.org/en/,True,1,2026-09-16,direct_site_verified
Astrid Anti-Aging Studio,https://www.astridthailand.com/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://www.astridthailand.com/,True,1,2026-09-16,direct_site_verified
Miskawaan Health Group,https://miskawaanhealth.com/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://miskawaanhealth.com/,True,1,2026-09-16,direct_site_verified
Miracle Regen,https://miracleregen.com/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://miracleregen.com/,True,1,2026-09-16,direct_site_verified
APEX Medical Center,https://www.apexmedicalcenter.co.th/en/about-us/,Bangkok,Thailand,Asia,stem_cell_regenerative,direct clinic website,https://www.apexmedicalcenter.co.th/en/about-us/,True,1,2026-09-16,direct_site_verified
Beike Cell Therapy Thailand Network,https://beikecelltherapy.com/,Thailand,Thailand,Asia,stem_cell_regenerative,public directory / clinic website,https://beikecelltherapy.com/,True,2,2026-09-16,directory_discovered
Stem Cell Center Malaysia,https://www.stemcells.center/,Kuala Lumpur,Malaysia,Asia,stem_cell_regenerative,direct clinic website,https://www.stemcells.center/,True,1,2026-09-16,direct_site_verified
Stem Cell Malaysia,https://stemcellmalaysia.com.my/,Kuala Lumpur,Malaysia,Asia,stem_cell_regenerative,direct clinic website,https://stemcellmalaysia.com.my/,True,1,2026-09-16,direct_site_verified
Da Vinci Clinic,https://davinciclinic.com.my/stem-cell-therapy-malaysia/,Kuala Lumpur,Malaysia,Asia,stem_cell_regenerative,direct clinic website,https://davinciclinic.com.my/stem-cell-therapy-malaysia/,True,1,2026-09-16,direct_site_verified
Nexus Clinic Kuala Lumpur,https://www.nexus-clinic.com/regenerative/stem-cell-therapy-malaysia/,Kuala Lumpur,Malaysia,Asia,stem_cell_regenerative,direct clinic website,https://www.nexus-clinic.com/regenerative/stem-cell-therapy-malaysia/,True,1,2026-09-16,direct_site_verified
My Bliss Clinic,https://www.myblissclinic.com/injectable-treatments/stem-cell-therapy/,Kuala Lumpur,Malaysia,Asia,stem_cell_regenerative,direct clinic website,https://www.myblissclinic.com/injectable-treatments/stem-cell-therapy/,True,1,2026-09-16,direct_site_verified
Advancells,https://www.advancells.com/,Noida,India,Asia,stem_cell_regenerative,direct clinic website,https://www.advancells.com/,True,1,2026-09-16,direct_site_verified
GIOSTAR India,https://giostarindia.com/,Ahmedabad / Bengaluru,India,Asia,stem_cell_regenerative,direct clinic website,https://giostarindia.com/,True,1,2026-09-16,direct_site_verified
ReeLabs,https://www.reelabs.com/stem-cell-therapy-india,Mumbai,India,Asia,stem_cell_regenerative,direct clinic website,https://www.reelabs.com/stem-cell-therapy-india,True,1,2026-09-16,direct_site_verified
NeuroGen Brain & Spine Institute,https://www.neurogen.in/,Navi Mumbai,India,Asia,stem_cell_regenerative,direct clinic website,https://www.neurogen.in/,True,2,2026-09-16,direct_site_verified
StemRx Hospital & Research Centre,https://stemrx.in/,Navi Mumbai,India,Asia,stem_cell_regenerative,direct clinic website,https://stemrx.in/,True,1,2026-09-16,direct_site_verified
SingHealth Duke-NUS Cell Therapy Centre,https://www.singhealth.com.sg/our-specialties/cell-therapy-centre,Singapore,Singapore,Asia,stem_cell_regenerative,direct clinic website,https://www.singhealth.com.sg/our-specialties/cell-therapy-centre,True,1,2026-09-16,direct_site_verified
StemCell Manila,https://www.stemcellmanila.com/,Makati,Philippines,Asia,stem_cell_regenerative,direct clinic website,https://www.stemcellmanila.com/,True,1,2026-09-16,direct_site_verified
Vinmec Center for Regenerative Medicine and Cell Therapy,https://www.vinmec.com/eng/hospital/center-for-regenerative-medicine-and-cell-therapy-vinmec-times-city-international-hospital,Hanoi,Vietnam,Asia,stem_cell_regenerative,direct clinic website,https://www.vinmec.com/eng/hospital/center-for-regenerative-medicine-and-cell-therapy-vinmec-times-city-international-hospital,True,1,2026-09-16,direct_site_verified
Taipei Medical University Hospital Cell Therapy & Regenerative Medicine Center,https://www.tmuh.org.tw/center/CELL/748,Taipei,Taiwan,Asia,stem_cell_regenerative,direct clinic website,https://www.tmuh.org.tw/center/CELL/748,True,1,2026-09-16,direct_site_verified
The Clifford Clinic,https://www.cliffordclinic.com/,Singapore,Singapore,Asia,stem_cell_regenerative,public directory / clinic website,https://www.cliffordclinic.com/,True,2,2026-09-16,directory_discovered
Florida Regenerative,https://floridaregenerative.com/,Florida,United States,United States,stem_cell_regenerative,direct clinic website,https://floridaregenerative.com/,True,1,2026-09-16,direct_site_verified
Source Healthcare Coral Gables,https://www.sourcehealthcare.com/locations/coral-gable-stem-cell-clinic/,"Coral Gables, FL",United States,United States,stem_cell_regenerative,direct clinic website,https://www.sourcehealthcare.com/locations/coral-gable-stem-cell-clinic/,True,1,2026-09-16,direct_site_verified
Triunity Clinic,https://triunityclinic.com/,"Tampa, FL",United States,United States,stem_cell_regenerative,direct clinic website,https://triunityclinic.com/,True,1,2026-09-16,direct_site_verified
STEMS Health,https://stemshealthregenerativemedicine.com/,"Miami Beach, FL",United States,United States,stem_cell_regenerative,direct clinic website,https://stemshealthregenerativemedicine.com/,True,1,2026-09-16,direct_site_verified
R3 Stem Cell California,https://stemcelltherapyincalifornia.com/,California,United States,United States,stem_cell_regenerative,direct clinic website,https://stemcelltherapyincalifornia.com/,True,1,2026-09-16,direct_site_verified
Stem Cell Therapy NYC,https://www.stemcellstherapynyc.com/,"New York, NY",United States,United States,stem_cell_regenerative,direct clinic website,https://www.stemcellstherapynyc.com/,True,1,2026-09-16,direct_site_verified
NTX Regen Center,https://ntxregencenter.com/stem-cell-therapy/,"Dallas-Fort Worth, TX",United States,United States,stem_cell_regenerative,direct clinic website,https://ntxregencenter.com/stem-cell-therapy/,True,1,2026-09-16,direct_site_verified
CSC Regenerative Medicine,https://cscrgm.com/stem-cell/,"Dallas-Fort Worth, TX",United States,United States,stem_cell_regenerative,direct clinic website,https://cscrgm.com/stem-cell/,True,1,2026-09-16,direct_site_verified
Utah Stem Cells,https://utahstemcells.com/,"Sandy, UT",United States,United States,stem_cell_regenerative,direct clinic website,https://utahstemcells.com/,True,1,2026-09-16,direct_site_verified
Joint Regeneration Center of Utah,https://regenerationutah.com/stem-cell-therapy/,"Salt Lake City, UT",United States,United States,stem_cell_regenerative,direct clinic website,https://regenerationutah.com/stem-cell-therapy/,True,1,2026-09-16,direct_site_verified
STEM350,https://stem350.com/,Southern Utah,United States,United States,stem_cell_regenerative,direct clinic website,https://stem350.com/,True,1,2026-09-16,direct_site_verified
Elite Regenerative Institute,https://www.eliteregen.com/,"Johnstown, CO",United States,United States,stem_cell_regenerative,direct clinic website,https://www.eliteregen.com/,True,1,2026-09-16,direct_site_verified
Stem Cell For Life,https://stemcellforlife.com/about-arizona-stem-cell-clinic/,"Phoenix, AZ",United States,United States,stem_cell_regenerative,direct clinic website,https://stemcellforlife.com/about-arizona-stem-cell-clinic/,True,1,2026-09-16,direct_site_verified
thriveMD,https://thrivemdclinic.com/stem-cell-therapy/,"Denver / Vail, CO",United States,United States,stem_cell_regenerative,direct clinic website,https://thrivemdclinic.com/stem-cell-therapy/,True,1,2026-09-16,direct_site_verified
Cendant Health,https://cendanthealth.com/locations/aspen-co/,"Aspen / Basalt, CO",United States,United States,stem_cell_regenerative,direct clinic website,https://cendanthealth.com/locations/aspen-co/,True,1,2026-09-16,direct_site_verified
Madison Medical NJ,https://madisonmedicalnj.com/treatment/stem-cell-therapy/,New Jersey,United States,United States,stem_cell_regenerative,direct clinic website,https://madisonmedicalnj.com/treatment/stem-cell-therapy/,True,1,2026-09-16,direct_site_verified
Cellaxys,https://cellaxys.com/,"Las Vegas, NV",United States,United States,stem_cell_regenerative,direct clinic website,https://cellaxys.com/,True,1,2026-09-16,direct_site_verified
Riordan Medical Institute,https://www.rmiclinic.com/,Texas,United States,United States,stem_cell_regenerative,direct clinic website,https://www.rmiclinic.com/,True,1,2026-09-16,direct_site_verified
Denver Regenerative Medicine,https://denverregenerativemedicine.com/,"Denver, CO",United States,United States,stem_cell_regenerative,direct clinic website,https://denverregenerativemedicine.com/,True,1,2026-09-16,direct_site_verified
Ways2Well,https://ways2well.com/health/beyond-stem-cells,"Austin / Houston, TX",United States,United States,stem_cell_regenerative,direct clinic website,https://ways2well.com/health/beyond-stem-cells,True,1,2026-09-16,direct_site_verified
Cell Surgical Network,https://cellsurgicalnetwork.com/,"Rancho Mirage, CA",United States,United States,stem_cell_regenerative,direct clinic website,https://cellsurgicalnetwork.com/,True,1,2026-09-16,direct_site_verified
Centeno-Schultz Clinic,https://centenoschultz.com/,Colorado,United States,United States,stem_cell_regenerative,direct clinic website,https://centenoschultz.com/,True,1,2026-09-16,direct_site_verified
BioReset Medical,https://www.bioresetmedical.com/stem-cells,California,United States,United States,stem_cell_regenerative,direct clinic website,https://www.bioresetmedical.com/stem-cells,True,1,2026-09-16,direct_site_verified
Regenexx Dallas,https://regenexx.com/locations/tx/dallas/5310-harvest-hill-rd/,"Dallas, TX",United States,United States,stem_cell_regenerative,direct clinic website,https://regenexx.com/locations/tx/dallas/5310-harvest-hill-rd/,True,1,2026-09-16,direct_site_verified
Innovations Medical,https://innovationsmedical.com/,"Dallas, TX",United States,United States,stem_cell_regenerative,direct clinic website,https://innovationsmedical.com/,True,2,2026-09-16,direct_site_verified
BioGenesis,https://www.biogenesiscenter.com/,Panama City,Panama,Rest of World,stem_cell_regenerative,direct clinic website,https://www.biogenesiscenter.com/,True,1,2026-09-16,direct_site_verified
Auragens,https://auragens.com/,Panama City,Panama,Rest of World,stem_cell_regenerative,direct clinic website,https://auragens.com/,True,1,2026-09-16,direct_site_verified
Panama Cell Therapies,https://pctpanama.com/about-pct-stem-cell-therapy/,Panama City,Panama,Rest of World,stem_cell_regenerative,direct clinic website,https://pctpanama.com/about-pct-stem-cell-therapy/,True,1,2026-09-16,direct_site_verified
Regeneration Clinic of Panama,https://regeneratepanama.com/,Panama City,Panama,Rest of World,stem_cell_regenerative,direct clinic website,https://regeneratepanama.com/,True,1,2026-09-16,direct_site_verified
Longevity Medical Institute,https://www.longevity-institute.com/,Mexico,Mexico,Rest of World,stem_cell_regenerative,direct clinic website,https://www.longevity-institute.com/,True,1,2026-09-16,direct_site_verified
Cellular Performance Institute,https://cellularperformanceinstitute.com/,"Tijuana, Baja California",Mexico,Rest of World,stem_cell_regenerative,direct clinic website,https://cellularperformanceinstitute.com/,True,1,2026-09-16,direct_site_verified
ProgenCell,https://progencell.com/,"Tijuana, Baja California",Mexico,Rest of World,stem_cell_regenerative,direct clinic website,https://progencell.com/,True,1,2026-09-16,direct_site_verified
Wellness Center Mexico,https://wellnesscentermexico.com/,Mexico,Mexico,Rest of World,stem_cell_regenerative,direct clinic website,https://wellnesscentermexico.com/,True,1,2026-09-16,direct_site_verified
ImmunotherapyMX,https://immunotherapymx.com/,Mexico,Mexico,Rest of World,stem_cell_regenerative,direct clinic website,https://immunotherapymx.com/,True,1,2026-09-16,direct_site_verified
Stem Cells Costa Rica,https://stemcellscostarica.org/,San José,Costa Rica,Rest of World,stem_cell_regenerative,direct clinic website,https://stemcellscostarica.org/,True,1,2026-09-16,direct_site_verified
Stem Cell CR,https://stemcellcr.com/,Costa Rica,Costa Rica,Rest of World,stem_cell_regenerative,direct clinic website,https://stemcellcr.com/,True,1,2026-09-16,direct_site_verified
R3 Stem Cell UAE,https://r3stemcell.com/uae,Dubai,United Arab Emirates,Rest of World,stem_cell_regenerative,direct clinic website,https://r3stemcell.com/uae,True,1,2026-09-16,direct_site_verified
AEON Clinic,https://theaeonclinic.com/,Dubai,United Arab Emirates,Rest of World,stem_cell_regenerative,direct clinic website,https://theaeonclinic.com/,True,1,2026-09-16,direct_site_verified
Victor Regenerative Medicine Centers,https://victorregenerativemedicinecenters.com/,Dubai,United Arab Emirates,Rest of World,stem_cell_regenerative,direct clinic website,https://victorregenerativemedicinecenters.com/,True,1,2026-09-16,direct_site_verified
Istanbul Stem Cell,https://istanbulstemcell.com/,Istanbul,Turkey,Rest of World,stem_cell_regenerative,direct clinic website,https://istanbulstemcell.com/,True,1,2026-09-16,direct_site_verified
TurkeyStemcell,https://turkeystemcell.com/,Istanbul,Turkey,Rest of World,stem_cell_regenerative,direct clinic website,https://turkeystemcell.com/,True,1,2026-09-16,direct_site_verified
Medicana International Istanbul,https://www.medicana.com.tr/,Istanbul,Turkey,Rest of World,stem_cell_regenerative,direct clinic website,https://www.medicana.com.tr/,True,2,2026-09-16,direct_site_verified
Swiss Medica,https://www.startstemcells.com/,Belgrade,Serbia,Rest of World,stem_cell_regenerative,direct clinic website,https://www.startstemcells.com/,True,1,2026-09-16,direct_site_verified
Stem Plus Clinic,https://stemplus.clinic/,Sofia,Bulgaria,Rest of World,stem_cell_regenerative,direct clinic website,https://stemplus.clinic/,True,1,2026-09-16,direct_site_verified
Mediland Clinic,https://mediland.clinic/,Sofia,Bulgaria,Rest of World,stem_cell_regenerative,direct clinic website,https://mediland.clinic/,True,1,2026-09-16,direct_site_verified
ANOVA Institute for Regenerative Medicine,https://anova-irm.com/en,Frankfurt,Germany,Rest of World,stem_cell_regenerative,direct clinic website,https://anova-irm.com/en,True,1,2026-09-16,direct_site_verified
University Hospital Zurich Stem & Immune Cell Therapy,https://www.usz.ch/en/disease/stem-cell-transplantation/,Zurich,Switzerland,Rest of World,cell_therapy_stem_cell,direct clinic website,https://www.usz.ch/en/disease/stem-cell-transplantation/,True,2,2026-09-16,direct_site_verified
OrthoRegen,https://orthoregen.com.au/,Australia,Australia,Rest of World,stem_cell_regenerative,direct clinic website,https://orthoregen.com.au/,True,1,2026-09-16,direct_site_verified
Sportsmed Biologic,https://sportsmedbiologic.com.au/,Australia,Australia,Rest of World,stem_cell_regenerative,direct clinic website,https://sportsmedbiologic.com.au/,True,1,2026-09-16,direct_site_verified
Melbourne Stem Cell Centre,https://melbournestemcellcentreresearch.com/,Melbourne,Australia,Rest of World,stem_cell_regenerative,direct clinic website,https://melbournestemcellcentreresearch.com/,True,1,2026-09-16,direct_site_verified
